cod_mun;nome_mun;sigla_uf;nome_uf;grande_regiao;cod_rs_450;nome_rs_450;cod_rs_449;nome_rs_449;cod_macro;nome_macro;pop_2019
110001;Alta Floresta D'Oeste;RO;Rondônia;Norte;11005;Zona da Mata;11005;Zona da Mata;1101;MACRORREGIONAL II (CACOAL);22945
110002;Ariquemes;RO;Rondônia;Norte;11001;Vale do Jamari;11001;Vale do Jamari;1102;MACRORREGIAO I - PORTO VELHO;107863
110003;Cabixi;RO;Rondônia;Norte;11006;Cone Sul;11006;Cone Sul;1101;MACRORREGIONAL II (CACOAL);5312
110004;Cacoal;RO;Rondônia;Norte;11002;Café;11002;Café;1101;MACRORREGIONAL II (CACOAL);85359
110005;Cerejeiras;RO;Rondônia;Norte;11006;Cone Sul;11006;Cone Sul;1101;MACRORREGIONAL II (CACOAL);16323
110006;Colorado do Oeste;RO;Rondônia;Norte;11006;Cone Sul;11006;Cone Sul;1101;MACRORREGIONAL II (CACOAL);15882
110007;Corumbiara;RO;Rondônia;Norte;11006;Cone Sul;11006;Cone Sul;1101;MACRORREGIONAL II (CACOAL);7391
110008;Costa Marques;RO;Rondônia;Norte;11007;Vale do Guaporé;11007;Vale do Guaporé;1101;MACRORREGIONAL II (CACOAL);18331
110009;Espigão D'Oeste;RO;Rondônia;Norte;11002;Café;11002;Café;1101;MACRORREGIONAL II (CACOAL);32374
110010;Guajará-Mirim;RO;Rondônia;Norte;11004;Madeira-Mamoré;11004;Madeira-Mamoré;1102;MACRORREGIAO I - PORTO VELHO;46174
110011;Jaru;RO;Rondônia;Norte;11003;Central;11003;Central;1102;MACRORREGIAO I - PORTO VELHO;51775
110012;Ji-Paraná;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);128969
110013;Machadinho D'Oeste;RO;Rondônia;Norte;11001;Vale do Jamari;11001;Vale do Jamari;1102;MACRORREGIAO I - PORTO VELHO;39991
110014;Nova Brasilândia D'Oeste;RO;Rondônia;Norte;11005;Zona da Mata;11005;Zona da Mata;1101;MACRORREGIONAL II (CACOAL);20474
110015;Ouro Preto do Oeste;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);36035
110018;Pimenta Bueno;RO;Rondônia;Norte;11002;Café;11002;Café;1101;MACRORREGIONAL II (CACOAL);36660
110020;Porto Velho;RO;Rondônia;Norte;11004;Madeira-Mamoré;11004;Madeira-Mamoré;1102;MACRORREGIAO I - PORTO VELHO;529544
110025;Presidente Médici;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);18986
110026;Rio Crespo;RO;Rondônia;Norte;11001;Vale do Jamari;11001;Vale do Jamari;1102;MACRORREGIAO I - PORTO VELHO;3764
110028;Rolim de Moura;RO;Rondônia;Norte;11005;Zona da Mata;11005;Zona da Mata;1101;MACRORREGIONAL II (CACOAL);55058
110029;Santa Luzia D'Oeste;RO;Rondônia;Norte;11005;Zona da Mata;11005;Zona da Mata;1101;MACRORREGIONAL II (CACOAL);6495
110030;Vilhena;RO;Rondônia;Norte;11006;Cone Sul;11006;Cone Sul;1101;MACRORREGIONAL II (CACOAL);99854
110032;São Miguel do Guaporé;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);23005
110033;Nova Mamoré;RO;Rondônia;Norte;11004;Madeira-Mamoré;11004;Madeira-Mamoré;1102;MACRORREGIAO I - PORTO VELHO;30583
110034;Alvorada D'Oeste;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);14411
110037;Alto Alegre dos Parecis;RO;Rondônia;Norte;11005;Zona da Mata;11005;Zona da Mata;1101;MACRORREGIONAL II (CACOAL);13241
110040;Alto Paraíso;RO;Rondônia;Norte;11001;Vale do Jamari;11001;Vale do Jamari;1102;MACRORREGIAO I - PORTO VELHO;21428
110045;Buritis;RO;Rondônia;Norte;11001;Vale do Jamari;11001;Vale do Jamari;1102;MACRORREGIAO I - PORTO VELHO;39654
110050;Novo Horizonte do Oeste;RO;Rondônia;Norte;11005;Zona da Mata;11005;Zona da Mata;1101;MACRORREGIONAL II (CACOAL);8538
110060;Cacaulândia;RO;Rondônia;Norte;11001;Vale do Jamari;11001;Vale do Jamari;1102;MACRORREGIAO I - PORTO VELHO;6230
110070;Campo Novo de Rondônia;RO;Rondônia;Norte;11001;Vale do Jamari;11001;Vale do Jamari;1102;MACRORREGIAO I - PORTO VELHO;14139
110080;Candeias do Jamari;RO;Rondônia;Norte;11004;Madeira-Mamoré;11004;Madeira-Mamoré;1102;MACRORREGIAO I - PORTO VELHO;26693
110090;Castanheiras;RO;Rondônia;Norte;11005;Zona da Mata;11005;Zona da Mata;1101;MACRORREGIONAL II (CACOAL);3052
110092;Chupinguaia;RO;Rondônia;Norte;11006;Cone Sul;11006;Cone Sul;1101;MACRORREGIONAL II (CACOAL);11182
110094;Cujubim;RO;Rondônia;Norte;11001;Vale do Jamari;11001;Vale do Jamari;1102;MACRORREGIAO I - PORTO VELHO;25215
110100;Governador Jorge Teixeira;RO;Rondônia;Norte;11003;Central;11003;Central;1102;MACRORREGIAO I - PORTO VELHO;7767
110110;Itapuã do Oeste;RO;Rondônia;Norte;11004;Madeira-Mamoré;11004;Madeira-Mamoré;1102;MACRORREGIAO I - PORTO VELHO;10458
110120;Ministro Andreazza;RO;Rondônia;Norte;11002;Café;11002;Café;1101;MACRORREGIONAL II (CACOAL);9660
110130;Mirante da Serra;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);10947
110140;Monte Negro;RO;Rondônia;Norte;11001;Vale do Jamari;11001;Vale do Jamari;1102;MACRORREGIAO I - PORTO VELHO;15852
110143;Nova União;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);6970
110145;Parecis;RO;Rondônia;Norte;11005;Zona da Mata;11005;Zona da Mata;1101;MACRORREGIONAL II (CACOAL);6074
110146;Pimenteiras do Oeste;RO;Rondônia;Norte;11006;Cone Sul;11006;Cone Sul;1101;MACRORREGIONAL II (CACOAL);2169
110147;Primavera de Rondônia;RO;Rondônia;Norte;11002;Café;11002;Café;1101;MACRORREGIONAL II (CACOAL);2856
110148;São Felipe D'Oeste;RO;Rondônia;Norte;11002;Café;11002;Café;1101;MACRORREGIONAL II (CACOAL);5172
110149;São Francisco do Guaporé;RO;Rondônia;Norte;11007;Vale do Guaporé;11007;Vale do Guaporé;1101;MACRORREGIONAL II (CACOAL);20266
110150;Seringueiras;RO;Rondônia;Norte;11007;Vale do Guaporé;11007;Vale do Guaporé;1101;MACRORREGIONAL II (CACOAL);11856
110155;Teixeirópolis;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);4308
110160;Theobroma;RO;Rondônia;Norte;11003;Central;11003;Central;1102;MACRORREGIAO I - PORTO VELHO;10444
110170;Urupá;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);11467
110175;Vale do Anari;RO;Rondônia;Norte;11003;Central;11003;Central;1102;MACRORREGIAO I - PORTO VELHO;11204
110180;Vale do Paraíso;RO;Rondônia;Norte;11003;Central;11003;Central;1101;MACRORREGIONAL II (CACOAL);6825
120001;Acrelândia;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;15256
120005;Assis Brasil;AC;Acre;Norte;12001;Alto Acre;12001;Alto Acre;1201;MACRO UNICA - AC;7417
120010;Brasiléia;AC;Acre;Norte;12001;Alto Acre;12001;Alto Acre;1201;MACRO UNICA - AC;26278
120013;Bujari;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;10266
120017;Capixaba;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;11733
120020;Cruzeiro do Sul;AC;Acre;Norte;12003;Juruá e Tarauacá/Envira;12003;Juruá e Tarauacá/Envira;1201;MACRO UNICA - AC;88376
120025;Epitaciolândia;AC;Acre;Norte;12001;Alto Acre;12001;Alto Acre;1201;MACRO UNICA - AC;18411
120030;Feijó;AC;Acre;Norte;12003;Juruá e Tarauacá/Envira;12003;Juruá e Tarauacá/Envira;1201;MACRO UNICA - AC;34780
120032;Jordão;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;8317
120033;Mâncio Lima;AC;Acre;Norte;12003;Juruá e Tarauacá/Envira;12003;Juruá e Tarauacá/Envira;1201;MACRO UNICA - AC;18977
120034;Manoel Urbano;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;9459
120035;Marechal Thaumaturgo;AC;Acre;Norte;12003;Juruá e Tarauacá/Envira;12003;Juruá e Tarauacá/Envira;1201;MACRO UNICA - AC;18867
120038;Plácido de Castro;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;19761
120039;Porto Walter;AC;Acre;Norte;12003;Juruá e Tarauacá/Envira;12003;Juruá e Tarauacá/Envira;1201;MACRO UNICA - AC;11982
120040;Rio Branco;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;407319
120042;Rodrigues Alves;AC;Acre;Norte;12003;Juruá e Tarauacá/Envira;12003;Juruá e Tarauacá/Envira;1201;MACRO UNICA - AC;18930
120043;Santa Rosa do Purus;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;6540
120045;Senador Guiomard;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;23024
120050;Sena Madureira;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;45848
120060;Tarauacá;AC;Acre;Norte;12003;Juruá e Tarauacá/Envira;12003;Juruá e Tarauacá/Envira;1201;MACRO UNICA - AC;42567
120070;Xapuri;AC;Acre;Norte;12001;Alto Acre;12001;Alto Acre;1201;MACRO UNICA - AC;19323
120080;Porto Acre;AC;Acre;Norte;12002;Baixo Acre e Purus;12002;Baixo Acre e Purus;1201;MACRO UNICA - AC;18504
130002;Alvarães;AM;Amazonas;Norte;13008;Triângulo;13008;Triângulo;1302;OESTE;16041
130006;Amaturá;AM;Amazonas;Norte;13009;Alto Solimões;13009;Alto Solimões;1302;OESTE;11536
130008;Anamã;AM;Amazonas;Norte;13002;Rio Negro e Solimões;13002;Rio Negro e Solimões;1304;CENTRAL;13614
130010;Anori;AM;Amazonas;Norte;13002;Rio Negro e Solimões;13002;Rio Negro e Solimões;1304;CENTRAL;21010
130014;Apuí;AM;Amazonas;Norte;13003;Rio Madeira;13003;Rio Madeira;1303;LESTE;21973
130020;Atalaia do Norte;AM;Amazonas;Norte;13009;Alto Solimões;13009;Alto Solimões;1302;OESTE;19921
130030;Autazes;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;39565
130040;Barcelos;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;27502
130050;Barreirinha;AM;Amazonas;Norte;13005;Baixo Amazonas;13005;Baixo Amazonas;1303;LESTE;32041
130060;Benjamin Constant;AM;Amazonas;Norte;13009;Alto Solimões;13009;Alto Solimões;1302;OESTE;42984
130063;Beruri;AM;Amazonas;Norte;13002;Rio Negro e Solimões;13002;Rio Negro e Solimões;1304;CENTRAL;19679
130068;Boa Vista do Ramos;AM;Amazonas;Norte;13005;Baixo Amazonas;13005;Baixo Amazonas;1303;LESTE;19207
130070;Boca do Acre;AM;Amazonas;Norte;13006;Regional Purus;13006;Regional Purus;1304;CENTRAL;34308
130080;Borba;AM;Amazonas;Norte;13003;Rio Madeira;13003;Rio Madeira;1303;LESTE;41161
130083;Caapiranga;AM;Amazonas;Norte;13002;Rio Negro e Solimões;13002;Rio Negro e Solimões;1304;CENTRAL;13081
130090;Canutama;AM;Amazonas;Norte;13006;Regional Purus;13006;Regional Purus;1304;CENTRAL;15629
130100;Carauari;AM;Amazonas;Norte;13007;Regional Juruá;13007;Regional Juruá;1302;OESTE;28294
130110;Careiro;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;37869
130115;Careiro da Várzea;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;30225
130120;Coari;AM;Amazonas;Norte;13002;Rio Negro e Solimões;13002;Rio Negro e Solimões;1304;CENTRAL;85097
130130;Codajás;AM;Amazonas;Norte;13002;Rio Negro e Solimões;13002;Rio Negro e Solimões;1304;CENTRAL;28637
130140;Eirunepé;AM;Amazonas;Norte;13007;Regional Juruá;13007;Regional Juruá;1302;OESTE;35273
130150;Envira;AM;Amazonas;Norte;13007;Regional Juruá;13007;Regional Juruá;1302;OESTE;20033
130160;Fonte Boa;AM;Amazonas;Norte;13009;Alto Solimões;13009;Alto Solimões;1302;OESTE;17609
130165;Guajará;AM;Amazonas;Norte;13007;Regional Juruá;13007;Regional Juruá;1302;OESTE;16678
130170;Humaitá;AM;Amazonas;Norte;13003;Rio Madeira;13003;Rio Madeira;1303;LESTE;55080
130180;Ipixuna;AM;Amazonas;Norte;13007;Regional Juruá;13007;Regional Juruá;1302;OESTE;29689
130185;Iranduba;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;48296
130190;Itacoatiara;AM;Amazonas;Norte;13004;Médio Amazonas;13004;Médio Amazonas;1303;LESTE;101337
130195;Itamarati;AM;Amazonas;Norte;13007;Regional Juruá;13007;Regional Juruá;1302;OESTE;7851
130200;Itapiranga;AM;Amazonas;Norte;13004;Médio Amazonas;13004;Médio Amazonas;1303;LESTE;9148
130210;Japurá;AM;Amazonas;Norte;13008;Triângulo;13008;Triângulo;1302;OESTE;2755
130220;Juruá;AM;Amazonas;Norte;13008;Triângulo;13008;Triângulo;1302;OESTE;14712
130230;Jutaí;AM;Amazonas;Norte;13009;Alto Solimões;13009;Alto Solimões;1302;OESTE;14317
130240;Lábrea;AM;Amazonas;Norte;13006;Regional Purus;13006;Regional Purus;1304;CENTRAL;46069
130250;Manacapuru;AM;Amazonas;Norte;13002;Rio Negro e Solimões;13002;Rio Negro e Solimões;1304;CENTRAL;97377
130255;Manaquiri;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;32105
130260;Manaus;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;2182763
130270;Manicoré;AM;Amazonas;Norte;13003;Rio Madeira;13003;Rio Madeira;1303;LESTE;55751
130280;Maraã;AM;Amazonas;Norte;13008;Triângulo;13008;Triângulo;1302;OESTE;18224
130290;Maués;AM;Amazonas;Norte;13005;Baixo Amazonas;13005;Baixo Amazonas;1303;LESTE;63905
130300;Nhamundá;AM;Amazonas;Norte;13005;Baixo Amazonas;13005;Baixo Amazonas;1303;LESTE;21173
130310;Nova Olinda do Norte;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;37378
130320;Novo Airão;AM;Amazonas;Norte;13002;Rio Negro e Solimões;13002;Rio Negro e Solimões;1304;CENTRAL;19454
130330;Novo Aripuanã;AM;Amazonas;Norte;13003;Rio Madeira;13003;Rio Madeira;1303;LESTE;25644
130340;Parintins;AM;Amazonas;Norte;13005;Baixo Amazonas;13005;Baixo Amazonas;1303;LESTE;114273
130350;Pauini;AM;Amazonas;Norte;13006;Regional Purus;13006;Regional Purus;1304;CENTRAL;19426
130353;Presidente Figueiredo;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;36279
130356;Rio Preto da Eva;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;33347
130360;Santa Isabel do Rio Negro;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;25156
130370;Santo Antônio do Içá;AM;Amazonas;Norte;13009;Alto Solimões;13009;Alto Solimões;1302;OESTE;21602
130380;São Gabriel da Cachoeira;AM;Amazonas;Norte;13001;Entorno Manaus e Alto Rio Negro;13001;Manaus, Entorno e Alto Rio Negro;1304;CENTRAL;45564
130390;São Paulo de Olivença;AM;Amazonas;Norte;13009;Alto Solimões;13009;Alto Solimões;1302;OESTE;39299
130395;São Sebastião do Uatumã;AM;Amazonas;Norte;13004;Médio Amazonas;13004;Médio Amazonas;1303;LESTE;14020
130400;Silves;AM;Amazonas;Norte;13004;Médio Amazonas;13004;Médio Amazonas;1303;LESTE;9171
130406;Tabatinga;AM;Amazonas;Norte;13009;Alto Solimões;13009;Alto Solimões;1302;OESTE;65844
130410;Tapauá;AM;Amazonas;Norte;13006;Regional Purus;13006;Regional Purus;1304;CENTRAL;17156
130420;Tefé;AM;Amazonas;Norte;13008;Triângulo;13008;Triângulo;1302;OESTE;59849
130423;Tonantins;AM;Amazonas;Norte;13009;Alto Solimões;13009;Alto Solimões;1302;OESTE;18755
130426;Uarini;AM;Amazonas;Norte;13008;Triângulo;13008;Triângulo;1302;OESTE;13540
130430;Urucará;AM;Amazonas;Norte;13004;Médio Amazonas;13004;Médio Amazonas;1303;LESTE;16256
130440;Urucurituba;AM;Amazonas;Norte;13004;Médio Amazonas;13004;Médio Amazonas;1303;LESTE;23065
140002;Amajari;RR;Roraima;Norte;14001;Centro Norte;14001;Centro Norte;1401;MACRO-RORAIMA;12796
140005;Alto Alegre;RR;Roraima;Norte;14001;Centro Norte;14001;Centro Norte;1401;MACRO-RORAIMA;15510
140010;Boa Vista;RR;Roraima;Norte;14001;Centro Norte;14001;Centro Norte;1401;MACRO-RORAIMA;399213
140015;Bonfim;RR;Roraima;Norte;14001;Centro Norte;14001;Centro Norte;1401;MACRO-RORAIMA;12409
140017;Cantá;RR;Roraima;Norte;14001;Centro Norte;14001;Centro Norte;1401;MACRO-RORAIMA;18335
140020;Caracaraí;RR;Roraima;Norte;14002;Sul;14002;Sul;1401;MACRO-RORAIMA;21926
140023;Caroebe;RR;Roraima;Norte;14002;Sul;14002;Sul;1401;MACRO-RORAIMA;10169
140028;Iracema;RR;Roraima;Norte;14002;Sul;14002;Sul;1401;MACRO-RORAIMA;11950
140030;Mucajaí;RR;Roraima;Norte;14001;Centro Norte;14001;Centro Norte;1401;MACRO-RORAIMA;17853
140040;Normandia;RR;Roraima;Norte;14001;Centro Norte;14001;Centro Norte;1401;MACRO-RORAIMA;11290
140045;Pacaraima;RR;Roraima;Norte;14001;Centro Norte;14001;Centro Norte;1401;MACRO-RORAIMA;17401
140047;Rorainópolis;RR;Roraima;Norte;14002;Sul;14002;Sul;1401;MACRO-RORAIMA;30163
140050;São João da Baliza;RR;Roraima;Norte;14002;Sul;14002;Sul;1401;MACRO-RORAIMA;8201
140060;São Luiz;RR;Roraima;Norte;14002;Sul;14002;Sul;1401;MACRO-RORAIMA;7986
140070;Uiramutã;RR;Roraima;Norte;14001;Centro Norte;14001;Centro Norte;1401;MACRO-RORAIMA;10559
150010;Abaetetuba;PA;Pará;Norte;15011;Tocantins;15011;Tocantins;1512;MACRORREGIONAL I;157698
150013;Abel Figueiredo;PA;Pará;Norte;15003;Carajás;15003;Carajás;1509;MACRORREGIONAL IV;7434
150020;Acará;PA;Pará;Norte;15007;Metropolitana II;15007;Metropolitana II;1511;MACRORREGIONAL II;55591
150030;Afuá;PA;Pará;Norte;15013;Marajó I;15013;Marajó I;1512;MACRORREGIONAL I;39218
150034;Água Azul do Norte;PA;Pará;Norte;15001;Araguaia;15001;Araguaia;1509;MACRORREGIONAL IV;27430
150040;Alenquer;PA;Pará;Norte;15002;Baixo Amazonas;15002;Baixo Amazonas;1510;MACRORREGIONAL III;56789
150050;Almeirim;PA;Pará;Norte;15002;Baixo Amazonas;15002;Baixo Amazonas;1510;MACRORREGIONAL III;34109
150060;Altamira;PA;Pará;Norte;15012;Xingu;15012;Xingu;1510;MACRORREGIONAL III;114594
150070;Anajás;PA;Pará;Norte;15014;Marajó II;15014;Marajó II;1512;MACRORREGIONAL I;29277
150080;Ananindeua;PA;Pará;Norte;15006;Metropolitana I;15006;Metropolitana I;1512;MACRORREGIONAL I;530598
150085;Anapu;PA;Pará;Norte;15012;Xingu;15012;Xingu;1510;MACRORREGIONAL III;27890
150090;Augusto Corrêa;PA;Pará;Norte;15009;Rio Caetés;15009;Rio Caetés;1511;MACRORREGIONAL II;45998
150095;Aurora do Pará;PA;Pará;Norte;15008;Metropolitana III;15008;Metropolitana III;1511;MACRORREGIONAL II;31338
150100;Aveiro;PA;Pará;Norte;15010;Tapajós;15010;Tapajós;1510;MACRORREGIONAL III;16388
150110;Bagre;PA;Pará;Norte;15014;Marajó II;15014;Marajó II;1512;MACRORREGIONAL I;30673
150120;Baião;PA;Pará;Norte;15011;Tocantins;15011;Tocantins;1512;MACRORREGIONAL I;47446
150125;Bannach;PA;Pará;Norte;15001;Araguaia;15001;Araguaia;1509;MACRORREGIONAL IV;3286
150130;Barcarena;PA;Pará;Norte;15011;Tocantins;15011;Tocantins;1512;MACRORREGIONAL I;124680
150140;Belém;PA;Pará;Norte;15006;Metropolitana I;15006;Metropolitana I;1512;MACRORREGIONAL I;1492745
150145;Belterra;PA;Pará;Norte;15002;Baixo Amazonas;15002;Baixo Amazonas;1510;MACRORREGIONAL III;17732
150150;Benevides;PA;Pará;Norte;15006;Metropolitana I;15006;Metropolitana I;1512;MACRORREGIONAL I;62737
150157;Bom Jesus do Tocantins;PA;Pará;Norte;15003;Carajás;15003;Carajás;1509;MACRORREGIONAL IV;16981
150160;Bonito;PA;Pará;Norte;15009;Rio Caetés;15009;Rio Caetés;1511;MACRORREGIONAL II;16286
150170;Bragança;PA;Pará;Norte;15009;Rio Caetés;15009;Rio Caetés;1511;MACRORREGIONAL II;127686
150172;Brasil Novo;PA;Pará;Norte;15012;Xingu;15012;Xingu;1510;MACRORREGIONAL III;15086
150175;Brejo Grande do Araguaia;PA;Pará;Norte;15003;Carajás;15003;Carajás;1509;MACRORREGIONAL IV;7380
150178;Breu Branco;PA;Pará;Norte;15004;Lago de Tucuruí;15004;Lago de Tucuruí;1509;MACRORREGIONAL IV;66046
150180;Breves;PA;Pará;Norte;15014;Marajó II;15014;Marajó II;1512;MACRORREGIONAL I;102701
150190;Bujaru;PA;Pará;Norte;15007;Metropolitana II;15007;Metropolitana II;1511;MACRORREGIONAL II;29132
150195;Cachoeira do Piriá;PA;Pará;Norte;15009;Rio Caetés;15009;Rio Caetés;1511;MACRORREGIONAL II;33900
