cod_mun;pop2021
110001;22516
110002;111148
110003;5067
110004;86416
110005;16088
110006;15213
110007;7052
110008;19255
110009;33009
110010;46930
110011;51469
110012;131026
110013;41724
110014;20504
110015;35445
110018;37098
110020;548952
110025;18165
110026;3843
110028;55748
110029;5942
110030;104517
110032;23147
110033;32184
110034;13807
110037;13268
110040;22258
110045;41043
110050;8125
110060;6307
110070;14391
110080;28068
110090;2923
110092;11755
110094;27131
110100;7130
110110;10819
110120;9461
110130;10691
110140;16158
110143;6822
110145;6319
110146;2127
110147;2697
110148;4962
110149;21088
110150;11846
110155;4160
110160;10348
110170;11081
110175;11545
110180;6490
120001;15721
120005;7649
120010;27123
120013;10572
120017;12280
120020;89760
120025;18979
120030;34986
120032;8628
120033;19643
120034;9701
120035;19727
120038;20147
120039;12497
120040;419452
120042;19767
120043;6893
120045;23446
120050;47168
120060;43730
120070;19866
120080;19141
130002;16396
130006;11934
130008;14292
130010;21937
130014;22739
130020;20868
130030;41005
130040;27772
130050;32919
130060;44873
130063;20503
130068;20040
130070;34958
130080;42328
130083;13482
130090;15981
130100;28719
130110;38820
130115;31459
130120;86713
130130;29691
130140;36121
130150;20748
130160;16409
130165;17193
130170;57195
130180;31172
130185;49718
130190;104046
130195;7777
130200;9312
130210;1755
130220;15495
130230;13462
130240;47685
130250;99613
130255;33981
130260;2255903
130270;57405
130280;18298
130290;66159
130300;21710
130310;38665
130320;20395
130330;26443
130340;116439
130350;19616
130353;38095
130356;34856
130360;26566
130370;20889
130380;47031
130390;40837
130395;14678
130400;9289
130406;68502
130410;16876
130420;59250
130423;19038
130426;13839
130430;16007
130440;24098
140002;13561
140005;15249
140010;436591
140015;12701
140017;19257
140020;22635
140023;10595
140028;12637
140030;18482
140040;11772
140045;20108
140047;31387
140050;8492
140060;8232
140070;11014
150010;160439
150013;7536
150020;55744
150030;39910
150034;27797
150040;57390
150050;34044
150060;117320
150070;30091
150080;540410
150085;29312
150090;46937
150095;32200
150100;16421
150110;31967
150120;49454
150125;3239
150130;129333
150140;1506420
150145;17944
150150;64780
150157;17254
150160;16769
150170;130122
150172;14883
150175;7357
150178;68597
150180;104280
150190;29717
150195;35307
150200;24355
150210;140814
150215;39103
150220;69828
150230;54545
150240;205667
150250;24175
150260;12175
150270;48115
150275;34236
150276;14044
150277;17764
150280;35530
150285;14776
150290;41093
150293;61206
150295;34069
150300;6949
150304;20742
150307;26155
150309;41678
150310;34127
150320;39234
150330;63367
150340;12009
150345;67170
150350;32639
150360;101541
150370;53439
150375;6952
150380;60517
150390;59961
150400;29623
150405;30389
150410;8598
150420;287664
150430;29559
150440;28563
150442;135812
150445;32347
150450;28121
150460;31917
150470;84251
150475;16282
150480;58289
150490;41454
150495;21519
